,Plate,Experiment Title,Treatment,Well,Label,Cells Plated,Mask Area (mm^2),Mask Area Total Density (OD),Count,Diameter Average (um),Diameter StdDev,Area Average (um^2),Area StdDev,Area Total (um^2),Density Average (OD),Density StdDev,Density Total (OD),Volume Average (OD*um^2),Volume StdDev,Volume Total (OD*um^2),Volume 2 Average (4/3PIr^3),Volume 2 StdDev,Volume 2  Total (4/3PIr^3),Nearest Neighbour Average (um),Nearest Neighbour StdDev,Read-date,Read-time,Plate Type,Resolution Setting,CHARM Settings File,Mask Settings File,Image File,Drug,Cell_line,Experimenter,PE,SF
14,3,UWB1BRCA1 TX,0.0006096631611034903,3,A03,1000,937.2061533387316,10573.284349886628,230,853.3153686523438,380.48779296875,685588.25,626939.375,157685302.4872152,0.1428823471069336,0.04064503312110901,32.86293984393408,105010.2734375,114386.2421875,24152362.84833133,544750656.0,771632576,125292652498.95406,1047.205322265625,603.1512451171875,23-02-2020,17:03:45,6-Well,300,UWB1&UWB1BRCA1_300charm.charm,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_23-02-20_16-48\Plate3\Plate3.ics,Rucaparib,UWB1BRCA1,TX,0.2105,1.0926365795724466
15,3,UWB1BRCA1 TX,0.001828989483310471,4,B01,1000,937.2061533387316,13345.746005712368,230,845.8201293945312,349.021240234375,657557.0,536161.5625,151238108.09545648,0.16278858482837677,0.03271827474236488,37.441372857603696,113224.296875,107157.9453125,26041587.63444284,492722848.0,601347968,113326256174.53174,1052.529052734375,644.4300537109375,23-02-2020,17:03:45,6-Well,300,UWB1&UWB1BRCA1_300charm.charm,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_23-02-20_16-48\Plate3\Plate3.ics,Rucaparib,UWB1BRCA1,TX,0.2105,1.0926365795724466
16,3,UWB1BRCA1 TX,0.0054869684499314125,5,B02,1000,937.2061533387316,12098.2542301178,218,827.6029663085938,319.4713439941406,618099.375,487534.96875,134745669.39719993,0.15149416029453278,0.030604949221014977,33.025725332389285,98169.9609375,88952.90625,21401051.335522085,442795296.0,538889664,96529377357.06427,1020.9031982421875,502.50958251953125,23-02-2020,17:03:45,6-Well,300,UWB1&UWB1BRCA1_300charm.charm,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_23-02-20_16-48\Plate3\Plate3.ics,Rucaparib,UWB1BRCA1,TX,0.2105,1.03562945368171
17,3,UWB1BRCA1 TX,0.016460905349794237,6,B03,1000,937.2061533387316,9792.064559780876,169,773.867431640625,333.64654541015625,557782.5625,505226.1875,94265256.02945435,0.13725391030311584,0.03652060031890869,23.195909663012298,81874.5078125,90576.1796875,13836792.303460727,396847232.0,576468288,67067183018.28171,1179.7777099609375,570.5978393554688,23-02-2020,17:03:45,6-Well,300,UWB1&UWB1BRCA1_300charm.charm,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_23-02-20_16-48\Plate3\Plate3.ics,Rucaparib,UWB1BRCA1,TX,0.2105,0.8028503562945368
18,4,UWB1BRCA1 TX,0.04938271604938271,1,A01,1000,937.2061533387316,12570.692566865764,110,679.5164794921875,273.39727783203125,421357.21875,346666.53125,46349295.540320165,0.16222794353961945,0.04014568403363228,17.845073016947072,72499.5390625,69903.7578125,7974949.0788972005,252663568.0,319688512,27792991803.491096,1516.5625,796.4974975585938,23-02-2020,17:03:45,6-Well,300,UWB1&UWB1BRCA1_300charm.charm,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_23-02-20_16-48\Plate4\Plate4.ics,Rucaparib,UWB1BRCA1,TX,0.2105,0.5225653206650831
19,4,UWB1BRCA1 TX,0.14814814814814814,2,A02,1000,937.2061533387316,13048.205891695108,117,694.5663452148438,256.210205078125,430450.09375,315409.21875,50362660.02710123,0.15658685564994812,0.027067389339208603,18.320662450978883,71149.4609375,62391.54296875,8324486.873170536,251810016.0,286539808,29461772423.838127,1489.1026611328125,878.669189453125,23-02-2020,17:03:45,6-Well,300,UWB1&UWB1BRCA1_300charm.charm,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_23-02-20_16-48\Plate4\Plate4.ics,Rucaparib,UWB1BRCA1,TX,0.2105,0.5558194774346793
20,4,UWB1BRCA1 TX,0.4444444444444444,3,A03,1000,937.2061533387316,12355.555661327895,53,603.2838134765625,188.8729248046875,313864.21875,210740.578125,16634804.121987687,0.15097524225711823,0.023577924817800522,8.001688141737837,47275.3359375,33066.65234375,2505592.8493416524,152440640.0,162044336,8079353686.355417,1912.082275390625,1367.2322998046875,23-02-2020,17:03:45,6-Well,300,UWB1&UWB1BRCA1_300charm.charm,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_23-02-20_16-48\Plate4\Plate4.ics,Rucaparib,UWB1BRCA1,TX,0.2105,0.2517814726840855
21,4,UWB1BRCA1 TX,1.3333333333333333,4,B01,1000,937.2061533387316,11686.71402479374,13,433.29010009765625,136.90728759765625,162172.078125,105552.6171875,2108237.0378428274,0.14163924753665924,0.010085895657539368,1.8413102738934977,23400.0234375,15825.40625,304200.30852362426,56434612.0,54451684,733649972.9250287,3762.004150390625,2462.0693359375,23-02-2020,17:03:45,6-Well,300,UWB1&UWB1BRCA1_300charm.charm,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_23-02-20_16-48\Plate4\Plate4.ics,Rucaparib,UWB1BRCA1,TX,0.2105,0.06175771971496437
22,4,UWB1BRCA1 TX,4.0,5,B02,1000,937.2061533387316,12074.704559931377,1,369.43115234375,0.0,107190.65625,0.0,107190.65421694911,0.13312220573425293,0.0,0.13312220261085925,14269.4560546875,0.0,14269.455988659254,26399712.0,0,26399711.605864007,0.0,0.0,23-02-2020,17:03:45,6-Well,300,UWB1&UWB1BRCA1_300charm.charm,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_23-02-20_16-48\Plate4\Plate4.ics,Rucaparib,UWB1BRCA1,TX,0.2105,0.004750593824228029
23,4,UWB1BRCA1 TX,0.0,6,B03,1000,937.2061533387316,14276.401271298662,182,898.8067626953125,333.66876220703125,721928.9375,544179.75,131391064.11166945,0.18069714307785034,0.03781720623373985,32.88688075171821,134147.765625,110479.1640625,24414894.395480983,550762112.0,650452736,100238704956.5581,1187.851806640625,718.5645141601562,23-02-2020,17:03:45,6-Well,300,UWB1&UWB1BRCA1_300charm.charm,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_23-02-20_16-48\Plate4\Plate4.ics,Rucaparib,UWB1BRCA1,TX,0.2105,0.8646080760095012
